NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Candidatus Fokinia solitaria	2	9	23	23	0	0	0	2	0	0	0	0	0	12	0	0
Candidatus Deianiraea vastatrix	1	4	113	4	0	0	0	2	5	1	0	0	0	0	0	0
Micavibrio aeruginosavorus	10	46	81	18	0	0	0	0	0	0	0	0	1	3	0	1
Candidatus Puniceispirillum marinum	3	1	109	2	0	0	0	0	0	0	0	0	0	0	0	0
Hyphobacterium sp. CCMP332	12	11	160	4	0	0	1	0	2	0	0	0	0	0	1	0
Marinicauda algicola	1	0	62	0	0	0	0	2	0	0	0	0	0	0	0	0
endosymbiont of Acanthamoeba sp. UWC8	3	4	9	1	0	0	0	0	2	1	0	0	0	0	0	0
Candidatus Gromoviella agglomerans	4	22	16	1	0	0	0	1	1	0	1	0	8	0	0	0
Candidatus Hydrogenosomobacter endosymbioticus	1	7	85	33	0	0	1	0	0	0	1	1	0	23	1	0
Candidatus Hepatincola sp. Av	1	18	118	7	0	0	6	0	1	2	1	0	0	1	2	0
Hirschia baltica	8	5	77	1	1	0	0	0	0	0	1	0	0	0	0	0
Candidatus Pelagibacter sp. IMCC9063	2	23	78	8	0	0	0	0	1	0	0	4	0	0	0	0
Aquisalinus flavus	1	19	31	0	1	0	1	30	1	2	0	1	0	2	0	0
Polyangium aurulentum	501	20	1723	37	0	0	2	19	0	0	0	0	0	8	0	0
Chondromyces crocatus	213	0	1444	0	0	0	1	0	1	0	1	1	1	0	0	0
Sorangium cellulosum	261	0	4786	7	0	0	2	2	6	19	0	0	0	0	9	0
Pajaroellobacter abortibovis	76	2	1798	6	1	0	0	0	2	0	0	0	0	1	2	0
Sandaracinus amylolyticus	92	39	5097	10	2	0	3	0	3	1	1	0	0	0	2	0
Labilithrix luteola	54	0	2593	2	0	0	4	1	1	2	0	0	0	0	1	0
Vulgatibacter incomptus	12	13	46	1	1	0	1	0	2	0	5	1	2	0	0	0
Stigmatella aurantiaca	4	0	13	6	0	1	2	0	3	0	1	0	0	0	2	0
Melittangium boletus	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
Archangium violaceum	2	0	14	0	6	0	0	1	2	0	0	0	1	1	0	0
Haliangium ochraceum	3	34	619	5	1	0	6	1	1	0	1	0	2	0	1	0
Desulfuromonas sp. AOP6	194	0	497	6	0	0	0	0	0	0	0	0	0	0	0	0
Desulfuromonas sp. DDH964	1	3	328	1	0	0	3	0	0	0	0	1	1	0	0	0
Desulfuromonas soudanensis	1	0	37	1	0	0	1	0	1	0	0	0	3	0	0	0
Desulfoluna sp. ASN36	29	3	298	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacula toluolica	2	378	8	6	0	0	1	1	0	0	0	0	0	3	0	0
Desulforapulum autotrophicum	2	2	148	10	0	0	0	0	0	0	1	0	0	0	1	0
Desulfonema magnum	1	14	6	1	1	0	6	0	2	0	1	0	27	0	4	0
Desulfosudis oleivorans	8	16	16	0	0	0	0	0	0	0	0	0	1	0	0	0
Desulfobulbus oralis	5	3	4	40	0	0	6	0	0	0	1	0	0	11	5	0
Desulfovibrio piger	10	0	1	0	3	0	7	0	1	0	9	0	22	0	10	0
Lawsonia intracellularis	3	8	198	5	0	0	3	0	2	0	1	1	0	1	1	1
Oceanidesulfovibrio marinus	1	10	1	1	1	0	0	0	1	0	0	0	1	0	0	0
Megalodesulfovibrio gigas	1	18	26	4	0	0	0	1	0	0	0	0	1	1	0	0
Desulfohalobium retbaense	3	28	16	4	0	0	4	4	0	0	0	0	0	2	0	1
Desulfomicrobium baculatum	2	0	407	0	0	0	3	0	0	0	0	0	0	0	0	0
Desulfoglaeba alkanexedens	7	5	32	4	15	0	47	0	3	0	9	0	73	0	4	0
Desulfomonile tiedjei	2	3	21	5	0	0	0	0	0	0	0	1	2	1	0	0
Syntrophus aciditrophicus	1	11	9	2	0	0	0	1	1	0	1	0	0	0	1	0
Dissulfurimicrobium hydrothermale	1	306	9	2	0	0	1	0	0	0	0	0	0	1	1	0
Campylobacter geochelonis	7	1	5	0	1	0	13	3	1	0	2	0	23	0	0	0
Campylobacter hominis	8	2877	3	32	0	4	5	44	242	8815	189	11089	23	1534	0	3
Campylobacter concisus	12	3	1	4	4	3	2	1	2	4	1	0	1	2	0	0
Campylobacter gracilis	3	16	3	0	7	0	32	0	7	1	10	0	90	0	4	0
Campylobacter insulaenigrae	2	0	1	5	0	0	0	0	0	0	0	3	0	1	0	0
Candidatus Campylobacter infans	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter canadensis	2	166	4	10	0	0	0	7	0	0	0	0	0	3	0	0
Campylobacter rectus	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter pylori	33	864	598	125	0	4	24	76	5	70	17	4	24	43	2	1
Helicobacter cinaedi	1	216	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Sulfurimonas sp. SWIR-19	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sulfurimonas sp. HSL-3221	4	103	6	2	0	0	0	0	1	0	0	0	1	0	0	0
Sulfuricurvum kujiense	1	0	6	10	0	0	0	1	0	0	0	0	0	1	0	0
Aliarcobacter faecis	4	1	4	0	1	0	24	0	4	0	3	0	14	1	0	0
Halarcobacter anaerophilus	2	0	127	0	0	0	0	0	1	0	0	1	0	0	0	0
Halarcobacter ebronensis	1	0	0	0	0	1	0	0	1	3	0	0	0	2	0	0
Sulfurospirillum sp. ACSTCE	1	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0
Halobacteriovorax marinus	36	0	178	1	0	1	0	0	9	1	6	0	3	2	0	0
Bacteriovorax stolpii	2	12	50	1	0	0	12	2	1	0	11	0	0	3	0	0
Bdellovibrio bacteriovorus	6	1	53	36	0	0	0	0	9	3	0	0	0	0	0	0
Bdellovibrio sp. LBG001	1	0	91	0	0	0	0	6	48	12	0	0	0	0	0	0
Silvanigrella aquatica	1	16	81	2	0	0	6	2	0	0	1	1	0	0	0	0
Hydrogenophilus thermoluteolus	4	6	31	4	1	0	11	0	7	0	1	0	0	0	71	1
Mariprofundus aestuarium	1	94	18	19	1	0	4	0	1	0	1	0	5	8	1	0
Mariprofundus ferrinatatus	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus aureus	7667	130525	30989	4738	13507	677	156258	366433	14322	48400	2776	53100	1306	4121	4272	186
Staphylococcus epidermidis	29	1412	177	54	23	14	5258	15201	1229	1358	15	11	4463	18357	75	9
Staphylococcus simiae	12	107	0	2	1	0	287	522	2	4	0	0	1	6	2	0
Staphylococcus warneri	14	149	34	3	1	0	50	210	24	19	0	0	4	42	6	0
Staphylococcus roterodami	8	107	1	4	0	1	257	333	1	0	0	0	1	2	0	0
Staphylococcus pasteuri	7	64	1	0	0	1	92	211	21	4	1	0	0	3	14	24
Staphylococcus haemolyticus	6	441	13	14	0	2	177	794	575	960	3	0	0	36	10	0
Staphylococcus hominis	6	192	14	20	9	7	230	509	201	8	10	10	15	90	23	0
Staphylococcus argenteus	21	389	22	8	0	0	292	1340	21	4	0	1	0	23	2	0
Staphylococcus schweitzeri	6	67	0	3	0	0	207	333	0	4	0	114	0	2	0	1
Staphylococcus pettenkoferi	4	35	6	4	0	0	33	95	5	2	0	0	2	5	0	0
Staphylococcus sp. 17KM0847	3	22	0	0	0	0	19	28	2	8	0	0	0	2	1	0
Staphylococcus sp. M0911	2	66	0	0	0	0	19	72	7	0	0	0	0	3	0	0
Staphylococcus pseudintermedius	3	186	30	3	0	0	38	234	160	4	0	0	0	11	6	0
Staphylococcus delphini	1	10	1	0	0	0	26	27	4	2	0	0	0	1	1	0
Staphylococcus arlettae	3	25	0	2	0	0	60	59	4	1	0	0	0	0	4	0
Staphylococcus caprae	3	186	4	6	1	1	102	421	115	4	1	0	4	45	15	0
Staphylococcus capitis	3	59	10	3	1	0	104	143	93	5	6	1	6	12	24	0
Staphylococcus succinus	3	40	0	2	0	1	40	68	18	0	0	1	1	3	0	0
Staphylococcus saprophyticus	2	87	3	2	0	0	40	179	5	6	1	0	1	9	0	0
Staphylococcus lugdunensis	2	158	5	0	0	1	48	349	35	9	0	0	2	5	3	0
Staphylococcus muscae	1	7	3	0	0	0	18	29	2	0	0	1	1	1	0	0
Staphylococcus lutrae	1	5	0	0	0	0	6	56	0	0	0	0	1	0	0	0
Staphylococcus equorum	1	79	0	17	1	0	9	185	21	1	0	1	0	3	0	0
Staphylococcus condimenti	1	44	13	2	0	1	19	108	42	29	2	0	0	5	3	1
Staphylococcus chromogenes	1	3	0	2	1	0	22	23	0	0	0	2	0	1	0	0
Staphylococcus auricularis	1	28	21	0	4	0	44	60	7	5	4	0	1	1	5	0
Nosocomiicoccus ampullae	1	9	4	7	2	0	10	20	3	3	3	1	0	0	2	0
Mammaliicoccus sciuri	1	37	0	4	0	0	9	41	25	11	9	0	2	6	0	0
Bacillus sp. BD59S	617	0	1156	1	801	0	527	52	395	0	462	0	92	30	327	60
Bacillus sp. SB49	2	13	1	0	0	0	1	2	4	0	2	0	0	0	1	1
Bacillus sp. ms-22	1	4	21	0	0	0	0	1	3	1	0	0	0	0	0	0
Bacillus sp. FJAT-18017	1	0	1	1	1	0	14	0	1	0	0	0	5	0	1	0
Bacillus sp. LJBS17	2	0	3	0	0	0	7	3	0	3	0	0	0	0	1	0
Bacillus velezensis	178	684	1505	81	132	4	461	672	406	451	267	4	172	88	146	1414
Bacillus amyloliquefaciens	23	110	843	5	41	5	198	300	160	123	107	0	818	42	26	0
Bacillus subtilis	115	1249	926	401	30	4	624	6728	314	1476	172	132	136	138	122	328
Bacillus licheniformis	8	23	40	54	0	0	7	200	2	38	0	0	0	14	3	0
Bacillus atrophaeus	719	1362	1731	62	804	0	2175	0	2954	0	4011	0	1056	0	616	0
Bacillus vallismortis	1	1	0	0	0	0	2	6	1	3	0	0	0	0	0	0
Bacillus halotolerans	1	9	41	0	0	0	6	13	7	5	1	0	4	1	5	0
Bacillus cereus	1261	32351	9070	3944	209	1250	8457	34129	38387	405526	10910	229969	461	4637	115	407831
Bacillus thuringiensis	801	3704	3581	4026	6	213	851	5157	865	3892	454	247	30	2117	104	1231
Bacillus anthracis	20	4570	943	1215	8	0	408	3581	1339	7962	19	12	14	1603	103	354
Bacillus pseudomycoides	4	33	4	8	1	1	5	28	9	10	4	1	3	1	9	0
Bacillus pacificus	5	10	38	0	4	0	3	14	6	23	0	0	0	7	0	0
Bacillus wiedmannii	1	3	0	1	0	0	2	5	3	0	0	0	0	0	0	0
Bacillus safensis	53	4	59	1	26	0	114	4	64	7	64	0	32	0	97	57
Bacillus shivajii	15	0	21	2	18	0	71	6	26	0	23	2	14	0	20	0
Bacillus haynesii	17	0	15	0	11	0	64	0	9	0	16	0	11	0	7	0
Bacillus pumilus	3	10	2	0	1	2	1	0	4	0	2	3	1	2	6	20
Bacillus smithii	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Bacillus altitudinis	1	24	90	1	0	0	19	26	18	81	1	1	4	9	0	120
Priestia megaterium	494	4797	1287	378	581	23	1421	1262	1445	175	339	105	643	236	318	1
Priestia aryabhattai	5	37	14	2	4	0	11	64	8	0	0	0	5	0	0	0
Priestia flexa	1	1	0	2	0	0	1	0	0	4	0	0	1	0	0	1
Priestia filamentosa	1	1	4	0	5	0	14	2	5	0	5	0	2	1	2	0
Anoxybacillus flavithermus	29	9	12	0	18	0	24	10	42	0	49	15	3	1	35	0
Geobacillus thermodenitrificans	22	5	32	12	0	0	0	0	0	8	0	0	0	1	25	0
Geobacillus subterraneus	2	4	2	0	0	0	1	23	1	7	6	0	0	1	0	0
Geobacillus stearothermophilus	1	0	7	0	32	0	34	0	9	0	50	0	7	0	0	0
Geobacillus thermocatenulatus	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
Alkalihalobacillus sp. LMS39	16	0	24	0	11	0	76	0	30	2	27	0	17	0	11	0
Alkalihalobacillus lehensis	2	4	2	0	1	0	20	0	3	0	6	0	1	4	4	0
Alkalihalobacillus krulwichiae	1	2	22	1	2	0	7	3	2	0	0	0	2	0	1	0
Alkalihalobacillus miscanthi	1	0	0	0	0	0	2	3	0	2	0	0	1	0	0	0
Caldibacillus thermoamylovorans	19	0	39	0	2	0	17	1	26	0	4	0	27	0	171	0
Weizmannia coagulans	15	55	105	9	1	0	14	23	11	8	4	0	29	7	145	0
Alkalihalophilus pseudofirmus	13	0	23	0	8	0	64	0	8	0	30	0	19	0	12	0
Peribacillus asahii	11	2	18	5	5	0	23	0	14	1	10	1	9	0	9	0
Cytobacillus oceanisediminis	4	32	32	3	1	2	9	14	10	16	0	3	1	1	1	0
Cytobacillus gottheilii	2	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0
Cytobacillus ciccensis	2	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0
Virgibacillus sp. 6R	5	0	7	0	2	0	24	0	18	0	15	0	3	0	16	0
Virgibacillus necropolis	1	3	0	0	0	0	1	1	4	0	0	0	0	2	1	0
Neobacillus mesonae	4	0	12	1	5	0	21	1	16	0	9	1	3	0	7	0
Lentibacillus sp. CBA3610	3	22	11	1	2	0	7	22	6	15	1	1	1	2	4	2
Aeribacillus pallidus	2	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0
Metabacillus sp. KUDC1714	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	2
Metabacillus sp. cB07	1	8	2	0	1	0	4	15	2	1	2	0	0	2	1	0
Salicibibacter cibi	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hydrogenibacillus sp. N12	2	1	8	0	1	0	9	8	0	0	0	0	1	0	0	0
Evansella cellulosilytica	2	7	2	0	8	2	14	18	8	0	4	0	1	5	6	0
Fictibacillus phosphorivorans	2	3	9	6	2	0	4	3	1	4	1	0	0	0	2	2
Sediminibacillus sp. DP4-553-S	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lysinibacillus fusiformis	1	5	10	1	0	0	3	12	0	0	0	0	1	2	2	0
Mesobacillus jeotgali	1	0	10	0	2	0	5	0	42	3	2	0	4	0	3	0
Paenibacillus polymyxa	66	83	858	33	17	0	283	47	67	158	67	1	27	28	59	0
Paenibacillus sp. JNUCC-31	10	8	14	1	8	0	53	12	6	4	10	0	7	2	14	0
Paenibacillus sp. PK3_47	1	0	8	4	1	0	0	0	1	0	0	1	0	2	0	0
Paenibacillus konkukensis	2	1	5	1	0	0	0	3	1	0	0	0	0	0	0	0
Paenibacillus tianjinensis	1	0	3	1	0	2	0	0	0	4	1	2	0	3	0	0
Paenibacillus lautus	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus psychroresistens	1	0	1	1	0	0	1	0	0	3	0	0	0	0	0	1
Paenibacillus baekrokdamisoli	1	2	0	0	0	0	1	0	2	2	0	0	0	0	0	0
Paenibacillus physcomitrellae	1	4	23	7	0	0	5	8	2	3	3	0	0	0	1	0
Paenibacillus stellifer	1	0	6	0	1	0	0	0	0	1	1	0	0	0	0	0
Paenibacillus mucilaginosus	1	1	2	1	0	0	1	1	0	2	0	1	0	0	0	0
Paenibacillus peoriae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermobacillus composti	5	0	2	0	1	0	1	0	6	0	2	0	0	1	0	0
Saccharibacillus brassicae	3	1	0	1	2	0	4	1	3	0	1	0	0	0	0	0
Brevibacillus sp. DP1.3A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cohnella sp. MFER-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planococcus sp. MB-3u-03	23	68	452	0	448	0	448	96	159	7	6	0	9	14	17	0
Planococcus halotolerans	1	1	1	0	2	0	5	0	0	1	8	0	0	0	0	0
Sporosarcina sp. Marseille-Q4063	3	7	15	0	0	0	3	16	1	0	0	0	0	0	9	0
Sporosarcina sp. resist	4	0	0	0	0	0	15	0	0	0	4	0	0	0	0	0
Sporosarcina sp. P33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporosarcina psychrophila	5	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0
Solibacillus silvestris	5	22	14	2	1	0	13	27	22	7	3	0	0	4	3	0
Jeotgalibacillus malaysiensis	1	2	2	2	1	0	2	4	2	2	0	0	0	0	1	0
Listeria monocytogenes	223	1997	8090	107	2	1	1098	1819	777	711	418	3	251	198	119	0
Laceyella sacchari	5	15	44	0	7	0	13	38	7	0	4	0	4	4	10	0
Novibacillus thermophilus	4	4	9	0	0	0	3	5	1	0	2	0	0	0	0	0
Thermoactinomyces vulgaris	1	2	11	1	0	0	0	8	1	0	0	0	0	0	1	0
Enterococcus faecalis	1434	1190	918	30	849	17	942	400	628	5403	391	19	862	289	1668	0
Enterococcus faecium	35	218	424	159	36	8	225	757	15105	67968	17	10	767	5094	27	6
Enterococcus casseliflavus	5	0	4	0	1	0	0	0	0	55	0	0	4	0	3	0
Enterococcus cecorum	2	2	7	0	9	0	22	0	28	51	4	0	4	1	7	0
Enterococcus saigonensis	1	24	0	2	0	0	11	2	10	85	0	0	0	5	1	0
Vagococcus fluvialis	1	2	0	0	0	0	0	0	5	8	0	0	0	3	0	0
Vagococcus coleopterorum	1	7	0	1	0	0	2	7	0	3	0	0	0	1	0	0
Vagococcus hydrophili	1	9	0	2	0	0	1	0	1	1	0	0	0	1	0	1
Tetragenococcus osmophilus	1	5	2	0	0	0	6	10	4	11	0	0	1	1	0	0
Lacticaseibacillus paracasei	154	5691	23	21	0	4	47	16	2420	8955	0	7	15	671	6	14
Lacticaseibacillus rhamnosus	5	155	3	2	0	0	1	0	1	44	0	0	1422	1875	0	0
Ligilactobacillus salivarius	80	2705	29	25	6	1	87	16	20	39	26	11	26	12	15	2
Ligilactobacillus ruminis	2	120	7	3	2	2	8	5	3	9	1	1	1	1	2	0
Limosilactobacillus pontis	37	2020	0	1	0	1	0	2	0	1	0	0	0	0	0	0
Limosilactobacillus fermentum	20	243	306	9	3	1	39	20	53	489	12	2	13	13	9	0
Limosilactobacillus vaginalis	16	1690	2	0	0	0	5	2	0	1	0	0	0	0	0	0
Limosilactobacillus gastricus	2	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus reuteri	1	121	15	0	2	0	12	2	18	91	7	0	30	9	5	9
Limosilactobacillus frumenti	1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus acidophilus	74	466	1106	31	10	0	64	59	532	2215	0	0	0	47	10	0
Lactobacillus jensenii	94	502	187	4	20	13	23	31	118	9	0	0	0	2	0	0
Lactobacillus iners	2	2	1	14	0	0	7	13	177	9	1	4	0	4	3	0
Lactobacillus delbrueckii	1	195	95	12	4	0	19	17	25	368	1	0	10	5	3	0
Lactobacillus kefiranofaciens	1	57	5	1	0	0	0	0	13	4	0	0	2	0	2	0
Lactobacillus acetotolerans	1	8	0	4	0	0	1	1	0	2	0	0	0	3	0	0
Lactiplantibacillus plantarum	24	375	121	44	17	1	175	78	39	924	32	0	79	74	32	3
Lactiplantibacillus pentosus	1	8	1	6	0	1	1	2	2	1	0	0	0	1	0	0
Lactiplantibacillus paraplantarum	1	1	7	11	0	0	5	0	0	1	0	1	0	3	0	0
Paucilactobacillus oligofermentans	8	43	77	5	0	0	14	2	6	3	1	0	1	0	1	0
Paucilactobacillus nenjiangensis	1	10	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Levilactobacillus brevis	10	862	5	0	1	0	30	4	11	16	1	0	0	2	2	1
Leuconostoc pseudomesenteroides	4	0	3	0	3	0	33	0	45	6	0	0	4	0	10	0
Leuconostoc lactis	2	0	1	0	0	0	7	36	0	1	0	0	0	0	0	0
Weissella diestrammenae	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Weissella ceti	3	16	11	0	0	0	0	1	5	8	0	0	0	0	0	0
Lentilactobacillus buchneri	1	3	0	1	0	0	0	0	9	6	0	0	0	0	0	0
Lentilactobacillus hilgardii	1	1	0	0	0	0	1	0	3	6	2	2	1	0	0	0
Lentilactobacillus parabuchneri	1	0	0	0	1	0	1	0	1	15	0	0	0	0	0	0
Fructilactobacillus lindneri	3	86	6	8	0	0	1	13	0	26	0	0	0	2	0	0
Periweissella cryptocerci	1	12	9	3	0	0	2	1	25	26	0	2	0	1	1	0
Schleiferilactobacillus harbinensis	1	8	1	4	0	0	0	2	0	3	1	0	1	0	1	0
Companilactobacillus futsaii	1	19	0	0	0	0	0	5	0	0	0	0	0	1	0	0
Acetilactobacillus jinshanensis	1	21	12	7	1	0	5	19	4	5	0	5	0	2	2	0
Streptococcus pyogenes	12	46	781	16	7	12	141	476	50	1660	14	28	6	18	29	29
Streptococcus infantis	9	58	63	10	1	0	13	35	1	22	1	0	10	4	4	0
Streptococcus oralis	5	15	9	0	7	0	54	43	15	8	1	0	2	1	30	0
Streptococcus sanguinis	3	5	3	4	1	0	4	8	4	0	2	11	1	3	0	1
Streptococcus thermophilus	3	116	180	50	5	0	134	510	11	281	7	1	7	254	14	0
Streptococcus agalactiae	27	66	419	16	0	0	76	216	13	376	0	0	7	25	0	0
Streptococcus dysgalactiae	3	356	0	105	0	0	5	45	6	34	0	44	0	44	0	0
Streptococcus salivarius	1	2	3	1	0	1	4	14	8	21	0	0	0	7	7	0
Streptococcus suis	22	200	152	20	0	0	58	83	38	409	2	1	0	1	1	0
Streptococcus pneumoniae	29	1517	3392	68	2	26	1571	1978	716	584	58	0	460	1	6	1
Streptococcus chenjunshii	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Lactococcus garvieae	11	0	11	30	7	0	22	0	3	0	6	3	1	0	8	78
Lactococcus lactis	1	13	2	96	3	0	0	0	0	0	6	0	3	0	2	0
Carnobacterium inhibens	8	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
Carnobacterium maltaromaticum	2	0	36	3	1	0	11	0	1	33	0	1	3	0	0	0
Dolosigranulum pigrum	3	0	361	24	0	10	30	11	6	10	5	2	0	0	1	0
Granulicatella adiacens	1	22	1	1	0	0	2	40	1	55	1	58	0	0	2	0
Granulicatella elegans	1	5	3	0	0	0	11	7	7	7	0	0	2	2	12	0
Abiotrophia defectiva	3	0	7	0	0	0	5	13	19	6	2	0	0	0	3	0
Suicoccus acidiformans	1	2	12	4	0	0	4	3	0	2	0	0	0	3	1	0
Clostridium tetani	714	3	1139	3	571	1	4484	4	1249	1	1129	4	5096	1	1357	0
Clostridium botulinum	269	196	635	2855	274	13	2104	38	562	3236	492	1846	1529	222	367	6
Clostridium perfringens	6	43	87	8	0	4	12	3	13	16	3	5	0	6	1	2
Clostridium sp. C1	3	0	10	0	6	1	2	0	10	0	6	0	6	0	4	0
Clostridium sp. BNL1100	2	9	0	0	0	0	0	1	20	10	66	27	1	0	0	0
Clostridium beijerinckii	4	26	50	17	0	2	8	2	1	4	2	1	0	3	1	0
Clostridium chauvoei	34	0	6	0	0	0	1	0	1	0	0	0	0	1	0	1
Clostridium manihotivorum	1	33	16	0	4	0	12	1	5	0	6	0	5	0	11	0
Clostridium cochlearium	1	0	3	2	0	3	1	0	2	1	0	0	1	0	0	0
Clostridium saccharoperbutylacetonicum	1	0	0	2	1	1	0	0	0	0	1	3	1	0	0	0
Clostridium cadaveris	1	1	0	0	0	0	0	2	1	5	0	1	0	0	0	0
Geosporobacter ferrireducens	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Serpentinicella alkaliphila	2	53	14	16	1	0	1	4	1	2	0	0	0	1	2	2
Paraclostridium bifermentans	1	0	7	4	0	0	0	0	4	8	0	0	0	0	0	1
Anaerobutyricum hallii	33	0	88	0	46	0	198	0	79	3	77	0	27	0	58	0
Blautia liquoris	7	0	3	2	1	0	0	0	0	0	5	0	0	0	0	0
Blautia hansenii	4	0	0	1	0	0	20	0	2	9	1454	0	0	1	0	0
Blautia obeum	5	0	2	0	10	0	26	0	41	19	44	0	9	0	16	0
Anaerostipes hadrus	4	6	1	1	1	0	2	1	7	0	13	0	3	1	4	3
Anaerostipes rhamnosivorans	1	1	0	21	1	0	2	0	0	1	1	3	4	5	0	0
[Ruminococcus] torques	6	0	22	0	1	0	19	0	17	0	18	0	5	0	13	0
[Ruminococcus] gnavus	1	0	8	10	0	1	5	1	4	22	12	0	3	0	1	0
Roseburia hominis	2	0	3	1	0	0	0	5	3	0	58	0	0	0	0	0
Novisyntrophococcus fermenticellae	2	0	5	0	0	0	1	0	11	2	3	1	0	0	1	0
Dorea longicatena	5	0	19	0	0	0	21	0	8	0	17	0	4	1	18	0
[Clostridium] hylemonae	1	0	0	1	0	0	2	0	3	0	5	0	1	0	0	0
Lachnoclostridium phocaeense	1	0	1	1	0	0	2	4	0	0	55	0	2	0	0	0
Wansuia hejianensis	1	0	1	0	0	0	4	1	0	0	2	0	0	0	0	0
Butyrivibrio fibrisolvens	1	12	0	30	0	1	0	0	6	1	0	5	0	1	0	1
Simiaoa sunii	1	0	0	0	0	0	6	0	4	0	2	0	4	0	0	0
Lacrimispora sphenoides	1	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0
Sellimonas intestinalis	1	0	0	0	0	0	0	0	5	0	58	0	0	0	3	0
[Clostridium] colinum	1	13	3	2	0	0	1	0	1	4	24	60	0	2	1	0
Coprococcus catus	1	0	2	0	0	0	1	0	6	0	12	2	2	0	2	0
Ruminococcus bovis	9	0	11	3	4	0	48	2	30	5	30	2	18	0	10	0
Ruminococcus champanellensis	9	16	4	0	0	0	21	4	15	0	4	0	6	2	5	0
Vescimonas fastidiosa	15	0	15	6	8	0	42	1	12	0	33	4	10	2	15	0
Vescimonas coprocola	3	0	2	0	7	0	48	0	15	0	11	0	8	0	11	0
Pusillibacter faecalis	6	2	2	2	0	0	6	0	9	0	6	1	3	0	2	0
Caproicibacterium amylolyticum	4	0	0	0	1	0	30	2	5	0	0	0	2	0	11	0
Caproicibacterium lactatifermentans	1	27	2	0	0	0	3	0	0	0	0	0	1	0	2	0
Dysosmobacter sp. Marseille-Q4140	4	0	0	2	0	0	1	0	0	0	2	0	3	0	0	0
Dysosmobacter welbionis	4	0	3	2	0	0	4	0	0	0	0	0	3	0	7	0
Acutalibacter muris	4	3	6	0	0	1	6	264	4	0	4	0	0	1	2	0
Acetivibrio clariflavus	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0
Caproiciproducens sp. NJN-50	1	0	0	0	0	0	6	0	3	0	0	0	0	1	0	0
Flavonifractor plautii	1	0	339	0	0	0	4	1	4	3	1	0	0	0	0	0
Ethanoligenens harbinense	1	0	0	3	0	0	7	0	5	0	1	0	0	0	0	0
Fastidiosipila sanguinis	1	17	2	5	1	0	4	1	1	0	2	0	0	1	0	0
Clostridioides difficile	1061	2256	4052	389	0	13	818	1146	401	992	239	2	1	556	4	0
Clostridioides sp. ES-S-0054-01	3	2	10	2	1	2	1	2	0	0	0	1	0	2	0	1
Romboutsia ilealis	4	1	4	6	3	0	19	0	4	0	6	0	0	0	0	0
Peptacetobacter hiranonis	1	1	0	7	0	0	4	0	1	0	2	0	1	1	0	0
